PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_KELUARGA,JUMLAH_SASARAN,JUMLAH_KRS,PENERIMA_BAAS,PENERIMA_BANTUAN_PANGAN,JUMLAH_BALITA_STUNTING,TERLALU_TUA,TERLALU_MUDA,TERLALU_BANYAK,TERLALU_DEKAT,SANITASI,SUMBER_AIR_MINUM,CATIN_SASARAN,CATIN_TERDAMPINGI,CATIN_TIDAK_TERDAMPINGI,CATIN_BERESIKO,BUMIL_SASARAN,BUMIL_TERDAMPINGI,BUMIL_TIDAK_TERDAMPINGI,BUMIL_BERESIKO,PASCASALIN_SASARAN,PASCASALIN_TERDAMPINGI,PASCASALIN_TIDAK_TERDAMPINGI,PASCASALIN_BERESIKO,BADUTA_SASARAN,BADUTA_TERDAMPINGI,BADUTA_TIDAK_TERDAMPINGI,BADUTA_BERESIKO,BULAN
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,81,29,24,24,13,0,0,6,18,0,14,1,5,2,3,2,16,9,7,7,14,13,1,1,30,20,10,10,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,98,72,32,16,6,1,1,20,6,5,16,3,8,4,4,1,53,27,26,27,36,7,29,6,54,15,39,49,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,35,74,22,0,0,0,0,4,14,0,12,5,5,4,1,4,59,57,2,51,37,13,24,1,37,4,33,14,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,82,22,10,3,3,2,2,7,1,0,2,1,5,0,5,0,12,8,4,2,12,9,3,1,16,0,16,10,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,37,59,54,8,4,0,0,10,39,4,39,10,0,0,0,0,10,5,5,2,5,4,1,4,35,20,15,12,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,91,35,26,14,12,12,5,15,1,2,17,4,16,6,10,2,31,27,4,1,3,3,0,0,11,2,9,5,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,36,12,6,6,6,1,0,0,2,2,4,0,3,2,1,2,12,7,5,6,11,8,3,5,3,2,1,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,35,65,45,13,7,0,0,11,20,14,30,12,7,0,7,0,23,12,11,7,22,0,22,0,23,19,4,9,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,40,66,49,2,2,2,1,34,4,10,44,1,4,1,3,0,22,8,14,0,11,10,1,9,30,29,1,21,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,77,75,67,44,17,1,0,11,5,25,6,23,8,5,3,3,23,6,17,0,3,1,2,1,37,4,33,25,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,41,70,22,9,2,0,0,8,14,0,2,9,2,2,0,1,12,9,3,0,3,0,3,0,33,16,17,2,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,49,57,8,5,2,1,0,4,1,2,3,3,4,4,0,0,18,17,1,6,17,12,5,2,13,13,0,13,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,35,47,15,12,9,2,1,3,2,0,14,1,2,0,2,0,25,9,16,7,22,8,14,1,27,26,1,15,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,36,25,18,0,0,0,0,12,4,1,10,2,0,0,0,0,19,6,13,6,1,0,1,0,6,2,4,2,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,96,79,45,10,5,1,0,22,8,3,23,2,14,11,3,7,66,22,44,1,40,8,32,1,72,61,11,28,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,61,79,48,48,27,21,5,32,3,8,48,0,3,3,0,2,27,8,19,1,2,2,0,1,31,4,27,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,74,47,19,3,3,1,1,5,0,9,8,5,11,3,8,2,19,17,2,6,15,8,7,3,30,16,14,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,97,53,13,8,3,2,0,7,3,2,1,12,11,1,10,1,40,32,8,7,38,18,20,3,20,13,7,13,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,53,28,8,4,4,3,0,6,1,0,2,5,3,2,1,2,28,21,7,16,3,2,1,1,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,76,11,7,0,0,0,0,1,5,1,4,2,10,1,9,0,11,6,5,2,3,3,0,1,4,0,4,4,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,38,20,15,6,4,1,1,2,10,2,2,10,5,4,1,4,15,15,0,0,13,8,5,6,14,10,4,14,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,44,24,1,0,0,0,0,1,0,0,0,1,5,2,3,2,21,6,15,6,11,3,8,1,8,6,2,6,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,98,77,13,2,1,1,0,4,1,3,2,5,11,0,11,0,50,26,24,9,15,2,13,1,61,0,61,35,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,43,38,7,6,3,2,0,0,5,2,4,0,4,1,3,1,26,20,6,17,22,15,7,14,11,3,8,5,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,83,57,39,20,11,11,8,6,17,0,24,12,4,0,4,0,38,17,21,5,8,3,5,1,22,11,11,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,75,59,10,6,0,0,0,3,1,2,5,1,10,2,8,2,20,8,12,1,6,4,2,3,43,26,17,2,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,41,69,27,27,14,13,0,4,10,13,7,2,1,1,0,0,57,23,34,17,12,6,6,3,36,22,14,23,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,46,76,74,41,3,1,1,62,9,0,37,37,7,6,1,6,55,31,24,3,19,8,11,1,38,35,3,19,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,69,10,5,1,1,0,0,0,4,0,1,1,13,7,6,0,10,10,0,2,0,0,0,0,5,2,3,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KADAILA,42,12,7,6,0,0,0,3,2,0,4,0,1,1,0,1,10,8,2,7,2,2,0,1,6,3,3,4,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,60,78,4,0,0,0,0,0,3,0,4,0,1,1,0,1,26,17,9,0,12,12,0,0,37,4,33,28,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,84,60,52,15,9,9,6,26,1,3,21,15,7,3,4,0,14,10,4,2,3,2,1,1,1,1,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,BENGGAULU,39,36,14,0,0,0,0,0,6,0,9,5,5,0,5,0,24,15,9,15,12,9,3,5,35,27,8,5,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SUKA MAJU,92,76,9,6,2,1,0,6,0,3,0,0,14,0,14,0,59,46,13,1,7,4,3,2,34,7,27,23,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAMBUNONG,90,16,13,8,0,0,0,6,5,1,9,1,14,0,14,0,15,11,4,9,1,1,0,1,7,0,7,3,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,44,67,5,1,0,0,0,5,0,0,3,1,2,0,2,0,22,10,12,0,11,5,6,5,43,13,30,32,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SANJANGO,52,77,11,3,3,1,0,2,0,7,2,0,4,0,4,0,32,23,9,21,25,21,4,0,1,1,0,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,69,34,15,4,0,0,0,9,2,4,1,3,0,0,0,0,30,5,25,2,24,22,2,13,37,18,19,28,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,63,47,32,17,13,2,0,7,23,2,2,13,5,0,5,0,18,14,4,4,4,2,2,0,9,1,8,8,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,35,11,5,0,0,0,0,1,3,0,5,0,2,0,2,0,11,9,2,0,2,0,2,0,0,0,0,0,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,37,28,20,5,5,4,2,12,2,1,0,3,7,2,5,1,13,7,6,1,0,0,0,0,1,0,1,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,71,17,10,7,3,1,1,7,0,1,4,2,9,1,8,1,11,6,5,5,9,3,6,0,8,2,6,3,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,39,11,9,6,1,0,0,5,2,2,2,5,1,0,1,0,10,6,4,3,4,0,4,0,5,2,3,0,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,32,70,8,8,5,1,0,0,0,1,1,7,2,0,2,0,52,39,13,24,15,12,3,0,64,56,8,17,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,41,53,27,10,7,6,4,23,0,0,12,2,6,3,3,3,41,34,7,30,7,3,4,0,2,2,0,0,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,41,29,23,14,13,2,0,22,0,1,15,0,4,4,0,2,26,6,20,2,7,4,3,1,25,10,15,10,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,58,22,5,2,2,1,0,0,2,3,4,0,3,0,3,0,13,13,0,5,11,6,5,2,16,16,0,6,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,60,19,17,7,3,0,0,4,7,6,16,0,10,8,2,7,18,12,6,3,17,14,3,12,18,16,2,6,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,47,75,8,2,0,0,0,0,2,0,2,5,3,1,2,0,72,21,51,2,0,0,0,0,13,4,9,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,34,28,0,0,0,0,0,0,0,0,0,0,4,1,3,0,23,6,17,0,9,3,6,3,1,1,0,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,98,14,4,4,3,0,0,2,0,1,4,0,1,0,1,0,11,9,2,0,9,8,1,3,12,11,1,11,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,41,17,10,2,0,0,0,4,3,0,0,9,4,4,0,3,14,13,1,9,5,3,2,1,10,6,4,5,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,58,33,11,8,7,5,1,6,3,0,0,2,1,1,0,0,16,7,9,4,12,5,7,0,7,1,6,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,86,41,35,20,8,3,3,25,5,2,34,0,10,1,9,0,34,14,20,2,25,11,14,4,15,3,12,0,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,58,77,21,14,6,4,3,6,4,7,18,1,6,5,1,5,22,21,1,16,9,2,7,1,8,0,8,8,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,100,27,7,2,1,1,1,4,1,1,7,0,17,3,14,1,21,21,0,9,9,3,6,2,2,0,2,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,40,27,3,2,0,0,0,1,0,1,1,0,2,2,0,1,12,10,2,3,4,2,2,2,12,8,4,6,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,64,58,29,10,8,3,1,4,8,14,28,0,0,0,0,0,57,5,52,1,3,1,2,1,40,14,26,26,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,86,43,23,22,8,0,0,14,5,2,14,5,9,5,4,5,37,22,15,16,15,5,10,5,8,6,2,6,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,65,42,39,29,8,2,2,11,10,15,6,5,6,5,1,0,37,30,7,29,17,2,15,0,33,29,4,30,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,81,64,35,2,0,0,0,18,6,10,2,7,5,1,4,1,17,7,10,3,17,4,13,1,26,0,26,6,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,62,42,0,0,0,0,0,0,0,0,0,0,5,2,3,0,26,10,16,4,11,5,6,5,5,0,5,2,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,TIRTABUANA,62,29,23,4,0,0,0,17,4,1,21,2,12,7,5,7,15,8,7,1,14,13,1,7,32,6,26,14,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,70,66,26,22,5,5,2,1,23,0,20,5,5,3,2,1,44,31,13,14,27,1,26,1,72,6,66,16,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,SARASA,84,22,15,15,4,2,2,11,1,1,2,4,14,8,6,7,12,12,0,1,11,1,10,0,22,2,20,18,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,TAMMARUNANG,33,51,12,6,2,2,1,2,0,7,3,3,5,2,3,0,43,42,1,4,28,16,12,12,59,3,56,10,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,SAPTANAJAYA,89,67,36,12,7,3,1,32,2,1,36,0,1,0,1,0,42,23,19,8,35,6,29,5,54,38,16,16,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,TARANGGI,44,41,16,3,2,2,0,14,0,1,2,7,2,2,0,0,40,26,14,12,8,8,0,0,5,0,5,4,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,SIPAKAINGA,74,50,16,6,4,2,2,2,9,2,4,12,10,7,3,3,34,23,11,20,1,1,0,0,24,22,2,8,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,KULU,44,34,12,11,9,5,3,6,1,2,11,0,0,0,0,0,11,7,4,5,10,8,2,6,2,2,0,0,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,PARABU,68,67,58,6,1,0,0,55,2,0,1,30,6,3,3,2,53,23,30,4,29,28,1,17,65,61,4,55,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,KENANGAN,41,71,19,5,3,1,1,15,3,0,14,5,6,4,2,1,57,7,50,6,30,16,14,8,43,37,6,43,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BAJAWALI,60,80,7,7,5,3,1,4,0,2,3,2,1,0,1,0,17,11,6,6,6,6,0,5,9,5,4,6,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,SINGGANI,91,21,19,15,13,3,2,5,12,0,19,0,15,11,4,2,14,11,3,6,9,8,1,0,8,4,4,1,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BATU MATORU,39,26,4,0,0,0,0,1,0,3,0,4,0,0,0,0,15,9,6,5,13,11,2,7,24,10,14,15,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BAMBAKORO,93,51,48,20,13,4,0,43,5,0,36,0,12,12,0,8,26,15,11,13,4,1,3,0,18,10,8,2,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,79,71,55,27,8,6,2,32,4,14,20,20,2,1,1,1,33,14,19,5,5,4,1,0,7,4,3,2,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,AKO,72,56,26,13,0,0,0,17,7,0,25,1,3,3,0,2,17,12,5,1,16,16,0,1,44,34,10,40,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PASANGKAYU,33,40,20,6,6,4,4,1,3,0,1,14,2,2,0,0,17,8,9,8,3,3,0,1,25,9,16,3,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,MARTAJAYA,64,50,1,0,0,0,0,0,1,0,1,0,3,1,2,1,31,11,20,8,19,11,8,9,52,22,30,36,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PAKAVA,49,40,27,0,0,0,0,10,13,1,27,0,7,2,5,1,23,20,3,10,19,4,15,4,8,5,3,1,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,GUNUNG SARI,97,72,29,9,2,2,1,2,24,2,21,5,2,0,2,0,29,13,16,1,9,4,5,2,1,0,1,1,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,MALEI,100,74,71,62,56,30,3,40,21,1,47,15,8,8,0,3,33,16,17,13,19,17,2,7,26,9,17,9,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,PEDANDA,37,42,2,0,0,0,0,1,1,0,1,1,3,3,0,1,32,14,18,1,23,20,3,12,0,0,0,0,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,BATU OGE,56,31,29,21,15,13,11,2,16,0,3,0,8,3,5,3,11,10,1,6,4,0,4,0,17,3,14,7,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,MARTASARI,77,10,3,3,2,1,0,1,2,0,0,1,5,5,0,5,10,6,4,1,3,3,0,3,0,0,0,0,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,SARJO,60,36,36,7,4,0,0,29,7,0,27,9,3,2,1,0,13,10,3,5,0,0,0,0,25,25,0,17,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,MAPONU,87,15,0,0,0,0,0,0,0,0,0,0,6,1,5,1,12,8,4,4,0,0,0,0,7,2,5,0,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,LETAWA,77,76,51,13,1,0,0,2,10,9,35,10,8,8,0,1,55,32,23,26,28,11,17,6,38,22,16,25,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,SARUDE,86,11,10,6,3,0,0,4,6,0,3,5,14,4,10,4,10,5,5,0,9,6,3,6,11,0,11,1,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,DODA,43,48,36,27,18,12,2,23,0,11,0,12,2,0,2,0,31,22,9,9,3,2,1,0,12,4,8,4,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,SARUDU,83,68,18,17,4,1,1,7,8,2,1,5,7,6,1,3,50,11,39,10,11,1,10,1,3,3,0,2,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,BULU MARIO,50,71,71,58,43,9,2,62,7,0,7,47,5,4,1,0,10,6,4,3,5,5,0,0,17,6,11,5,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,KUMASARI,60,41,5,4,1,1,1,3,1,0,0,2,0,0,0,0,33,5,28,4,29,23,6,4,31,26,5,16,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,PATIKA,45,18,16,2,0,0,0,3,5,4,1,5,1,0,1,0,12,7,5,6,4,1,3,1,5,5,0,1,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,MAKMUR JAYA,57,46,38,16,8,6,0,8,21,5,17,2,6,5,1,5,18,16,2,8,6,0,6,0,27,14,13,0,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,LARIANG,100,23,2,2,0,0,0,0,0,2,2,0,1,0,1,0,13,6,7,0,13,1,12,0,11,10,1,10,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,TIKKE,72,53,2,1,0,0,0,0,1,0,1,1,12,1,11,0,10,9,1,0,9,0,9,0,12,6,6,8,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,PAJALELE,34,11,2,0,0,0,0,1,0,0,1,0,2,1,1,0,10,9,1,7,3,3,0,0,2,0,2,2,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,JENGENG RAYA,89,39,2,2,2,1,1,1,0,0,0,0,2,2,0,1,29,21,8,19,4,3,1,0,6,4,2,3,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,46,75,55,42,31,8,8,17,20,5,3,50,3,2,1,1,58,6,52,3,58,58,0,11,89,20,69,36,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,BARU,72,78,71,13,3,0,0,71,0,0,19,5,14,3,11,1,47,11,36,6,19,2,17,2,66,55,11,64,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,95,55,33,16,2,2,0,22,5,5,2,9,15,14,1,12,29,24,5,6,22,4,18,4,36,8,28,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,64,53,8,6,6,4,1,5,1,1,3,5,1,0,1,0,37,7,30,5,13,2,11,0,11,5,6,0,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,71,47,18,16,11,8,6,1,4,2,17,1,1,1,0,0,24,18,6,4,16,8,8,4,42,29,13,21,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,93,56,9,8,6,6,6,1,0,1,6,2,11,4,7,4,41,8,33,8,2,2,0,0,8,6,2,0,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,51,47,40,16,8,3,0,37,3,0,8,29,1,0,1,0,33,21,12,11,16,10,6,7,34,24,10,10,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,80,28,3,0,0,0,0,2,0,0,3,0,3,1,2,1,27,20,7,4,22,7,15,2,27,16,11,6,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,43,79,46,21,13,13,6,12,5,18,32,14,6,6,0,5,77,61,16,42,33,26,7,2,69,48,21,34,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,43,63,60,53,13,9,8,19,16,0,14,19,4,2,2,2,56,18,38,5,4,3,1,0,4,2,2,4,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,73,14,7,1,0,0,0,0,5,2,5,1,7,6,1,3,14,13,1,12,8,6,2,5,3,3,0,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,92,10,9,9,4,4,1,7,1,0,6,0,3,1,2,0,10,5,5,4,3,0,3,0,8,5,3,0,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,34,71,15,1,0,0,0,13,1,0,7,3,0,0,0,0,52,35,17,1,34,5,29,4,43,13,30,36,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,46,77,22,21,0,0,0,15,5,0,11,7,5,2,3,1,38,13,25,8,37,8,29,7,63,20,43,32,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,44,61,30,9,5,4,3,27,0,0,19,1,7,3,4,1,29,25,4,18,0,0,0,0,25,18,7,20,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,80,60,46,40,36,17,6,29,9,0,35,4,8,1,7,0,26,9,17,2,11,9,2,2,13,8,5,13,JANUARI
