PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,PUS,PUS_KB,PUS_TIDAK_KB,PB,PA,MKJP,KBPP,UNMET_NEED,BULAN
SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,1,1,1,2,1,22,45,235,175,60,8,27,4,44,8,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,1,1,1,2,32,47,1,296,194,102,10,37,17,3,14,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,1,1,1,2,42,4,0,381,111,270,47,44,12,13,3,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,1,1,1,2,7,34,10,380,199,181,6,32,21,19,26,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,1,1,1,2,7,25,4,351,149,202,24,11,38,26,4,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,1,1,1,2,16,23,10,322,164,158,16,31,9,22,15,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,1,1,1,2,43,32,2,295,171,124,47,41,20,13,15,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,1,1,1,2,20,30,40,225,197,28,49,17,42,25,2,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,1,1,1,2,38,14,6,303,165,138,24,6,7,44,1,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,1,1,1,2,17,32,28,343,140,203,29,18,35,19,16,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,1,1,1,2,0,16,7,292,171,121,5,6,30,17,7,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,TIRTABUANA,1,1,1,2,0,11,33,355,151,204,46,46,1,12,23,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,1,1,1,2,9,3,20,316,152,164,14,43,44,0,2,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,SARASA,1,1,1,2,0,31,13,281,108,173,43,47,33,12,11,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,TAMMARUNANG,1,1,1,2,0,14,39,373,189,184,34,40,3,22,21,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,SAPTANAJAYA,1,1,1,2,12,45,30,223,113,110,31,7,3,0,23,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,TARANGGI,1,1,1,2,7,47,6,298,153,145,18,40,46,29,10,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,SIPAKAINGA,1,1,1,2,22,3,4,235,197,38,34,33,1,1,6,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,KULU,1,1,1,2,12,39,12,226,110,116,10,7,32,38,12,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,PARABU,1,1,1,2,6,3,6,386,155,231,44,45,18,25,11,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,KENANGAN,1,1,1,2,7,15,8,285,124,161,6,36,39,50,3,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BAJAWALI,1,1,1,2,48,0,5,266,154,112,10,0,1,43,14,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,SINGGANI,1,1,1,2,49,20,29,368,123,245,15,7,39,24,21,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BATU MATORU,1,1,1,2,23,5,29,258,200,58,4,18,17,39,9,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BAMBAKORO,1,1,1,2,0,45,17,334,192,142,12,26,25,47,27,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,1,1,1,2,5,42,30,217,169,48,39,2,28,39,12,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,AKO,1,1,1,2,5,30,34,216,143,73,6,34,13,7,12,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PASANGKAYU,1,1,1,2,18,41,10,268,178,90,26,49,50,15,30,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,MARTAJAYA,1,1,1,2,22,45,34,358,104,254,39,9,21,30,21,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PAKAVA,1,1,1,2,28,13,35,357,132,225,25,41,29,4,1,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,GUNUNG SARI,1,1,1,2,17,7,26,333,126,207,24,48,25,6,12,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,MALEI,1,1,1,2,21,19,33,323,100,223,30,15,17,47,29,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,PEDANDA,1,1,1,2,5,48,41,354,173,181,36,17,44,9,10,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,BATU OGE,1,1,1,2,47,9,16,255,124,131,29,37,0,7,10,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,MARTASARI,1,1,1,2,9,42,28,335,135,200,14,43,20,6,21,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,SARJO,1,1,1,2,11,39,34,228,185,43,1,29,3,6,9,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,MAPONU,1,1,1,2,31,11,30,397,176,221,12,22,21,5,23,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,LETAWA,1,1,1,2,48,25,32,344,193,151,32,7,37,19,26,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,SARUDE,1,1,1,2,10,3,5,232,154,78,40,27,34,30,0,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,DODA,1,1,1,2,23,36,26,214,149,65,49,27,9,14,6,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,SARUDU,1,1,1,2,40,39,38,400,158,242,48,34,29,35,12,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,BULU MARIO,1,1,1,2,18,33,40,372,198,174,27,45,29,44,22,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,KUMASARI,1,1,1,2,38,26,3,317,169,148,48,45,3,31,16,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,PATIKA,1,1,1,2,32,24,45,237,199,38,7,31,30,39,30,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,MAKMUR JAYA,1,1,1,2,22,37,26,275,160,115,22,27,40,27,21,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,LARIANG,1,1,1,2,50,39,26,266,146,120,16,26,11,9,9,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,TIKKE,1,1,1,2,12,11,37,259,186,73,18,42,1,29,9,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,PAJALELE,1,1,1,2,24,30,24,383,174,209,5,35,38,14,22,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,JENGENG RAYA,1,1,1,2,27,27,36,317,139,178,27,24,35,46,0,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,1,1,1,2,28,31,36,253,124,129,22,31,43,47,29,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,BARU,1,1,1,2,45,25,1,303,158,145,13,11,12,3,3,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,1,1,1,2,16,42,35,218,111,107,4,1,43,4,5,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,1,1,1,2,38,21,36,344,104,240,28,37,10,40,8,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,1,1,1,2,24,10,35,373,197,176,34,20,7,6,15,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,1,1,1,2,30,25,22,370,195,175,37,4,44,37,15,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,1,1,1,2,29,13,45,363,135,228,0,33,40,28,19,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,1,1,1,2,14,26,14,212,120,92,38,18,26,8,18,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,1,1,1,2,17,26,14,322,134,188,40,41,47,43,25,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,1,1,1,2,14,27,31,372,152,220,45,5,34,19,10,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,1,1,1,2,9,8,50,281,149,132,15,12,2,41,19,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,1,1,1,2,40,22,33,260,115,145,0,34,0,17,17,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,1,1,1,2,32,0,10,400,148,252,41,45,15,20,4,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,1,1,1,2,33,12,28,201,123,78,43,38,29,23,7,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,1,1,1,2,4,2,22,377,158,219,42,26,47,39,20,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,1,1,1,2,38,0,19,262,109,153,14,7,1,25,5,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,1,1,1,2,0,50,20,225,100,125,34,21,17,19,12,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,1,1,1,2,29,9,45,296,171,125,34,33,37,26,6,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,1,1,1,2,48,15,26,383,125,258,30,13,18,20,8,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,1,1,1,2,8,33,34,218,169,49,21,30,48,49,7,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,1,1,1,2,11,36,47,237,190,47,15,38,27,10,18,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,1,1,1,2,19,13,45,317,157,160,5,3,18,29,22,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,1,1,1,2,48,40,31,314,110,204,23,24,33,29,20,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,1,1,1,2,19,4,0,252,170,82,42,40,32,16,15,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,1,1,1,2,25,4,39,364,144,220,21,15,49,29,16,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,1,1,1,2,43,35,8,372,181,191,33,36,6,38,17,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,1,1,1,2,26,23,28,288,190,98,12,36,1,27,22,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,1,1,1,2,36,47,50,399,154,245,48,0,6,38,25,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,1,1,1,2,35,1,36,277,153,124,29,6,34,24,10,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,1,1,1,2,30,7,45,226,102,124,17,16,20,16,17,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,1,1,1,2,50,10,31,276,128,148,12,36,48,34,20,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,1,1,1,2,31,42,48,296,190,106,6,39,18,46,21,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,1,1,1,2,14,37,7,326,183,143,6,31,13,21,16,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,1,1,1,2,43,47,37,363,184,179,33,22,15,39,20,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,1,1,1,2,27,37,25,286,165,121,22,7,5,37,8,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,1,1,1,2,42,40,40,222,122,100,14,34,41,8,19,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,1,1,1,2,5,4,3,313,116,197,39,23,16,27,11,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,1,1,1,2,30,48,2,290,101,189,30,20,19,5,24,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,1,1,1,2,38,41,49,330,144,186,20,25,2,7,25,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,1,1,1,2,17,19,23,246,151,95,31,4,37,3,10,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,1,1,1,2,20,10,22,210,181,29,41,43,21,21,26,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,1,1,1,2,30,42,39,335,187,148,21,1,25,7,12,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,1,1,1,2,32,20,5,314,125,189,5,24,26,31,11,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,1,1,1,2,27,45,45,220,142,78,43,17,5,22,30,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,1,1,1,2,45,49,45,246,197,49,44,30,18,12,7,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,1,1,1,2,36,50,1,383,131,252,15,34,34,41,4,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,1,1,1,2,48,48,14,305,125,180,10,11,32,2,9,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,1,1,1,2,27,42,32,387,152,235,50,28,19,21,16,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,1,1,1,2,30,46,32,305,155,150,23,47,29,10,14,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,1,1,1,2,36,17,39,278,138,140,44,22,18,17,2,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,1,1,1,2,35,8,34,265,151,114,27,42,46,10,15,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,1,1,1,2,5,38,16,346,150,196,38,11,20,48,13,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,1,1,1,2,38,41,20,248,121,127,14,24,19,1,30,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,1,1,1,2,24,48,22,239,162,77,0,21,4,40,17,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,1,1,1,2,3,0,31,313,161,152,43,35,9,6,11,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,1,1,1,2,8,47,26,362,143,219,10,26,2,7,3,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,1,1,1,2,13,33,16,282,142,140,12,40,38,49,8,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,1,1,1,2,40,34,9,314,134,180,22,30,23,8,29,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,1,1,1,2,46,30,39,373,126,247,17,40,31,20,16,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,1,1,1,2,12,27,44,327,195,132,21,11,39,40,11,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,1,1,1,2,48,42,50,393,170,223,31,29,4,11,30,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,1,1,1,2,46,1,23,250,118,132,9,17,7,39,5,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,1,1,1,2,35,2,14,263,120,143,26,46,42,12,14,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,1,1,1,2,5,48,36,287,158,129,0,45,7,32,30,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,1,1,1,2,37,49,43,267,101,166,38,41,42,9,0,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,1,1,1,2,32,29,42,362,177,185,40,28,42,27,25,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,1,1,1,2,0,17,8,387,100,287,48,35,3,11,7,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,1,1,1,2,29,18,33,253,191,62,19,44,37,39,9,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,1,1,1,2,36,11,4,266,118,148,10,6,36,31,14,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,1,1,1,2,10,4,4,219,191,28,1,22,0,12,15,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,1,1,1,2,14,16,0,336,150,186,34,10,10,15,14,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,1,1,1,2,38,13,4,274,121,153,10,32,20,48,27,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,1,1,1,2,20,33,14,251,107,144,47,7,5,31,5,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,1,1,1,2,21,0,3,381,160,221,14,19,42,2,26,JANUARI
