PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,Sasaran,Persen_Ukur_Timbang,Stunting,Wasting,Underweight,BULAN
SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,162,71.6,47,4,27,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,TIRTABUANA,88,64.77,12,0,6,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,76,88.16,20,0,11,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,SARASA,215,64.65,23,11,16,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,TAMMARUNANG,231,70.13,79,24,69,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,SAPTANAJAYA,420,65.71,64,34,57,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,TARANGGI,211,62.56,28,10,32,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,SIPAKAINGA,505,67.52,68,37,83,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,KULU,105,78.1,26,6,30,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,PARABU,237,59.49,21,25,32,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,KENANGAN,267,64.42,59,22,49,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BAJAWALI,113,74.34,16,12,21,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,SINGGANI,66,66.67,3,7,10,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BATU MATORU,23,95.65,0,2,4,JANUARI
SULAWESI BARAT,PASANGKAYU,LARIANG,BAMBAKORO,113,60.18,15,15,15,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,124,62.9,14,4,11,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,AKO,72,73.61,8,1,3,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PASANGKAYU,151,50.99,18,9,22,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,MARTAJAYA,108,76.85,21,6,16,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PAKAVA,32,90.63,5,0,6,JANUARI
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,GUNUNG SARI,71,60.56,11,6,11,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,MALEI,166,56.02,39,11,34,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,PEDANDA,102,61.76,11,6,12,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,BATU OGE,1393,19.53,54,27,107,JANUARI
SULAWESI BARAT,PASANGKAYU,PEDONGGA,MARTASARI,275,78.55,51,9,51,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,SARJO,272,53.31,34,12,38,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,MAPONU,155,73.55,13,20,23,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,LETAWA,197,61.93,18,17,31,JANUARI
SULAWESI BARAT,PASANGKAYU,SARJO,SARUDE,414,71.26,50,24,60,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,DODA,294,60.88,43,20,36,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,SARUDU,239,45.61,28,20,42,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,BULU MARIO,342,79.53,65,31,64,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,KUMASARI,356,84.27,65,26,48,JANUARI
SULAWESI BARAT,PASANGKAYU,SARUDU,PATIKA,245,80.41,48,14,41,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,MAKMUR JAYA,363,87.6,59,10,64,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,LARIANG,523,86.42,108,39,102,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,TIKKE,193,96.89,32,9,36,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,PAJALELE,206,68.93,28,25,43,JANUARI
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,JENGENG RAYA,347,89.63,55,23,72,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,57,87.72,7,8,13,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,BARU,359,89.69,61,7,54,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,197,98.98,35,9,32,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,114,96.49,17,4,14,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,229,88.65,36,4,28,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,448,93.75,72,14,64,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,270,64.44,51,4,34,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,162,71.6,47,4,27,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,88,64.77,12,0,6,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,76,88.16,20,0,11,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,215,64.65,23,11,16,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,231,70.13,79,24,69,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,420,65.71,64,34,57,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,211,62.56,28,10,32,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,505,67.52,68,37,83,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,105,78.1,26,6,30,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,237,59.49,21,25,32,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,267,64.42,59,22,49,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,113,74.34,16,12,21,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,66,66.67,3,7,10,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,23,95.65,0,2,4,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,113,60.18,15,15,15,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,124,62.9,14,4,11,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,72,73.61,8,1,3,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,151,50.99,18,9,22,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,108,76.85,21,6,16,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,32,90.63,5,0,6,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,71,60.56,11,6,11,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,166,56.02,39,11,34,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,102,61.76,11,6,12,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,1393,19.53,54,27,107,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,275,78.55,51,9,51,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,272,53.31,34,12,38,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,155,73.55,13,20,23,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,197,61.93,18,17,31,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,414,71.26,50,24,60,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,294,60.88,43,20,36,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,239,45.61,28,20,42,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,342,79.53,65,31,64,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,356,84.27,65,26,48,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,245,80.41,48,14,41,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,363,87.6,59,10,64,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,132,87.12,16,10,24,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,523,86.42,108,39,102,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,193,96.89,32,9,36,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,206,68.93,28,25,43,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,347,89.63,55,23,72,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,57,87.72,7,8,13,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,359,89.69,61,7,54,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,197,98.98,35,9,32,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,114,96.49,17,4,14,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,229,88.65,36,4,28,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,448,93.75,72,14,64,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,270,64.44,51,4,34,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,162,71.6,47,4,27,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,88,64.77,12,0,6,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,76,88.16,20,0,11,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,215,64.65,23,11,16,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,231,70.13,79,24,69,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,420,65.71,64,34,57,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,211,62.56,28,10,32,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,505,67.52,68,37,83,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,105,78.1,26,6,30,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,237,59.49,21,25,32,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,267,64.42,59,22,49,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,113,74.34,16,12,21,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,66,66.67,3,7,10,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,23,95.65,0,2,4,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,113,60.18,15,15,15,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,124,62.9,14,4,11,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,72,73.61,8,1,3,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,151,50.99,18,9,22,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,108,76.85,21,6,16,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,32,90.63,5,0,6,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,71,60.56,11,6,11,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,166,56.02,39,11,34,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,102,61.76,11,6,12,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,1393,19.53,54,27,107,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,275,78.55,51,9,51,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,272,53.31,34,12,38,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,155,73.55,13,20,23,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,197,61.93,18,17,31,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,ARALLE,414,71.26,50,24,60,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,RALLE ANAK,294,60.88,43,20,36,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,PANETEAN,239,45.61,28,20,42,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,UHAILANU,342,79.53,65,31,64,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,ARALLE UTARA,356,84.27,65,26,48,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,UHAIDAHO,245,80.41,48,14,41,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,BARURU,363,87.6,59,10,64,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,RALLEANAK UTARA,132,87.12,16,10,24,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,PAMOSEANG PANGGA,98,90.82,17,5,16,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,KALABE,86,90.7,16,8,18,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,ARALLE SELATAN,345,96.23,73,36,76,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,HAHANGAN,344,94.19,70,13,47,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA,382,87.7,92,55,98,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA BARAT,191,94.76,48,32,60,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA SATANETEAN,359,97.49,96,55,110,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA TUMUKA,216,81.48,46,12,41,JANUARI
SULAWESI BARAT,MAMASA,BALLA,SEPAKUAN,167,50.3,11,18,26,JANUARI
SULAWESI BARAT,MAMASA,BALLA,PIDARA,266,80.83,26,31,56,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BAMBAPUANG,257,67.32,20,32,53,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA TIMUR,183,66.67,26,31,44,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,MOKALLANG,145,92.41,29,32,44,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,MASOSO,219,93.61,34,23,52,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUASSING,237,89.87,47,17,49,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUBULO,188,90.96,37,29,57,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUKADI,523,86.42,108,39,102,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUKEPOPOK,193,96.89,32,9,36,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI BARAT,206,68.93,28,25,43,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,LIMBADEBATA,347,89.63,55,23,72,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,57,87.72,7,8,13,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG,359,89.69,61,7,54,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,RANTELEMO,197,98.98,35,9,32,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUDENGEN,114,96.49,17,4,14,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI,229,88.65,36,4,28,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG TIMUR,448,93.75,72,14,64,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,MINANGA,270,64.44,51,4,34,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SIKAMASE,162,71.6,47,4,27,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,RANTETARIMA,88,64.77,12,0,6,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALURURU,76,88.16,20,0,11,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUTABANG,215,64.65,23,11,16,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,BALATANA,231,70.13,79,24,69,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,BUNTUMALANGKA,420,65.71,64,34,57,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,RANTEBERAN,211,62.56,28,10,32,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KEBANGA,505,67.52,68,37,83,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALURINDU,105,78.1,26,6,30,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,TAORA,237,59.49,21,25,32,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KABAE,267,64.42,59,22,49,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN BARAT,113,74.34,16,12,21,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,PENATANGAN,66,66.67,3,7,10,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN TIMUR,23,95.65,0,2,4,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN,113,60.18,15,15,15,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,ARALLE TIMUR,124,62.9,14,4,11,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,MAMASA,72,73.61,8,1,3,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,RAMBUSARATU,151,50.99,18,9,22,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,OSANGO,108,76.85,21,6,16,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,LAMBANAN,32,90.63,5,0,6,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,LEMBANA SALULO,71,60.56,11,6,11,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,TAUPE,166,56.02,39,11,34,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,BUNTU BUDA,102,61.76,11,6,12,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,TONDOK BAKARU,1393,19.53,54,27,107,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,PEBASSIAN,275,78.55,51,9,51,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,MAMBULILING,272,53.31,34,12,38,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,BOMBONG LAMBE,155,73.55,13,20,23,JANUARI
